Record_ID,Date,Region,Crop_Type,Temperature (°C),Soil_Moisture (%),Rainfall (mm),NDVI_Index,Fertiliser_Used,Pesticide_Used,AI_Crop_Health_Score,Yield_Prediction (t/acre),Irrigation_Status,Disease_Risk_Level,Recommendation
1,2025-11-21,Sindh,Maize,19.4,70.1,24.4,0.37,Potash,General,46,5.6,Adequate,Low,Apply Pesticide
2,2025-11-20,KPK,Rice,29.7,57.5,5.2,0.87,Potash,None,68,3.2,Excessive,Low,Apply Fertiliser
3,2025-02-27,Punjab,Wheat,32.2,51.6,39.6,0.34,Potash,None,90,5.9,Insufficient,High,Increase Watering
4,2025-08-22,Punjab,Maize,33.5,64.8,0.4,0.62,Organic,General,74,4.8,Insufficient,High,Reduce Watering
5,2025-09-26,KPK,Cotton,31.2,76.6,22.9,0.62,Nitrogen,General,90,3.8,Excessive,Moderate,Maintain Schedule
6,2025-02-04,Gilgit-Baltistan,Cotton,20.0,31.3,23.6,0.45,Potash,None,44,3.6,Excessive,Moderate,Reduce Watering
7,2025-04-09,Gilgit-Baltistan,Maize,35.8,63.0,13.5,0.85,None,Organic,97,2.8,Excessive,Moderate,Apply Fertiliser
8,2025-06-11,Balochistan,Wheat,41.6,81.6,32.2,0.76,Potash,Organic,78,2.3,Adequate,High,Apply Fertiliser
9,2025-03-14,Punjab,Wheat,26.3,41.5,18.2,0.89,Phosphate,Organic,45,5.7,Excessive,Moderate,Reduce Watering
10,2025-03-09,Gilgit-Baltistan,Maize,36.8,74.9,37.4,0.64,Organic,Organic,66,3.8,Adequate,Low,Maintain Schedule
11,2025-07-29,Gilgit-Baltistan,Wheat,21.5,72.0,32.5,0.6,Nitrogen,None,96,4.1,Excessive,High,Increase Watering
12,2025-12-08,KPK,Maize,30.0,36.1,15.8,0.74,Potash,None,81,5.1,Insufficient,Low,Apply Pesticide
13,2025-01-15,KPK,Rice,33.5,56.4,8.7,0.85,Organic,Organic,50,5.0,Excessive,High,Reduce Watering
14,2025-04-27,Sindh,Rice,27.1,51.6,9.4,0.9,Potash,None,68,1.8,Adequate,Low,Apply Fertiliser
15,2025-10-10,Sindh,Wheat,21.9,87.8,30.0,0.25,Nitrogen,General,99,4.6,Insufficient,Low,Reduce Watering
16,2025-09-08,Gilgit-Baltistan,Maize,32.5,24.0,22.3,0.78,Organic,General,90,3.2,Adequate,Moderate,Apply Fertiliser
17,2025-06-05,Punjab,Rice,26.3,39.0,1.0,0.58,Potash,General,80,4.2,Adequate,Moderate,Increase Watering
18,2025-02-26,Sindh,Wheat,31.9,40.3,39.5,0.77,Organic,Organic,60,3.7,Insufficient,High,Apply Fertiliser
19,2025-03-10,Sindh,Rice,33.2,59.3,9.5,0.32,None,General,88,5.9,Adequate,Low,Increase Watering
20,2025-05-22,Punjab,Maize,32.4,60.3,18.3,0.43,Phosphate,None,57,4.1,Insufficient,High,Maintain Schedule
21,2025-05-31,KPK,Maize,40.2,90.0,28.3,0.89,Organic,General,94,5.9,Insufficient,Moderate,Increase Watering
22,2025-04-01,Sindh,Rice,34.0,45.0,25.2,0.23,Potash,None,67,4.1,Insufficient,Low,Apply Fertiliser
23,2025-07-06,Balochistan,Cotton,25.9,86.4,19.0,0.27,Potash,None,66,4.1,Excessive,High,Apply Pesticide
24,2025-10-16,Balochistan,Rice,34.3,87.4,32.4,0.59,None,None,96,3.4,Insufficient,Moderate,Maintain Schedule
25,2025-06-02,Sindh,Wheat,31.9,65.2,32.0,0.38,Potash,General,62,4.8,Insufficient,High,Apply Pesticide
26,2025-12-14,Sindh,Wheat,24.0,36.0,38.0,0.27,Potash,None,51,5.8,Excessive,High,Apply Pesticide
27,2025-02-06,Punjab,Cotton,41.1,60.1,24.6,0.31,Potash,General,90,3.9,Adequate,High,Apply Pesticide
28,2025-09-09,KPK,Rice,36.6,49.8,20.2,0.78,None,General,84,4.0,Insufficient,High,Maintain Schedule
29,2025-06-25,Sindh,Rice,34.2,24.2,30.0,0.29,Phosphate,Organic,46,4.0,Adequate,High,Increase Watering
30,2025-05-30,Balochistan,Wheat,28.0,42.2,12.1,0.59,None,Organic,78,2.6,Adequate,Low,Apply Pesticide
31,2025-04-14,Punjab,Wheat,25.5,52.0,8.4,0.52,Phosphate,Organic,53,4.7,Insufficient,Low,Apply Pesticide
32,2025-07-14,Gilgit-Baltistan,Cotton,31.1,26.0,29.6,0.44,Phosphate,General,45,6.0,Adequate,High,Reduce Watering
33,2025-03-12,Sindh,Wheat,35.1,45.0,3.4,0.42,Organic,General,48,4.3,Insufficient,Moderate,Maintain Schedule
34,2025-02-12,Sindh,Rice,40.9,55.0,30.8,0.79,Nitrogen,Organic,82,3.4,Adequate,High,Apply Pesticide
35,2025-08-06,KPK,Maize,26.6,56.9,5.3,0.58,Organic,General,75,1.8,Adequate,High,Apply Fertiliser
36,2025-06-01,KPK,Wheat,33.2,83.3,33.3,0.27,Organic,None,80,4.0,Excessive,Low,Maintain Schedule
37,2025-09-08,Gilgit-Baltistan,Cotton,28.8,26.1,14.0,0.48,Potash,Organic,88,5.4,Adequate,Low,Apply Pesticide
38,2025-10-07,KPK,Rice,19.7,89.9,8.4,0.31,None,None,59,4.7,Insufficient,Low,Apply Pesticide
39,2025-10-08,KPK,Maize,27.4,75.6,14.3,0.51,Nitrogen,Organic,75,1.7,Adequate,High,Reduce Watering
40,2025-01-09,Gilgit-Baltistan,Cotton,35.1,23.8,8.8,0.39,Nitrogen,General,44,2.4,Insufficient,High,Apply Pesticide
41,2025-07-16,KPK,Maize,33.9,25.6,11.4,0.55,Potash,Organic,91,2.5,Excessive,Low,Apply Pesticide
42,2025-03-06,Balochistan,Maize,41.9,39.6,31.7,0.24,None,Organic,72,2.7,Excessive,Low,Reduce Watering
43,2025-10-09,Gilgit-Baltistan,Wheat,22.2,45.8,1.9,0.35,Organic,Organic,98,2.5,Adequate,Low,Reduce Watering
44,2025-07-18,Sindh,Wheat,21.1,54.4,20.9,0.71,None,General,41,2.1,Adequate,Low,Increase Watering
45,2025-03-05,Gilgit-Baltistan,Maize,30.4,87.0,8.6,0.35,Nitrogen,General,41,4.1,Insufficient,High,Apply Pesticide
46,2025-08-07,Sindh,Cotton,26.5,20.5,12.3,0.42,Nitrogen,None,58,5.1,Excessive,Moderate,Apply Pesticide
47,2025-04-09,Balochistan,Wheat,31.7,46.0,13.5,0.51,Organic,Organic,65,2.3,Excessive,High,Reduce Watering
48,2025-03-02,KPK,Maize,37.4,73.3,34.8,0.31,None,None,56,3.7,Insufficient,Moderate,Increase Watering
49,2025-09-09,KPK,Maize,24.0,86.3,27.7,0.64,Phosphate,General,81,1.8,Insufficient,Moderate,Increase Watering
50,2025-01-27,Balochistan,Wheat,27.1,24.0,20.5,0.46,Organic,General,92,5.8,Adequate,Low,Reduce Watering
51,2025-04-04,Punjab,Cotton,40.0,30.1,17.7,0.33,Organic,General,99,5.0,Adequate,Moderate,Reduce Watering
52,2025-12-09,Punjab,Maize,36.4,49.6,33.1,0.23,Potash,General,57,3.7,Insufficient,Low,Increase Watering
53,2025-05-17,KPK,Rice,24.1,55.9,33.7,0.85,Organic,None,52,5.6,Insufficient,Moderate,Apply Fertiliser
54,2025-12-07,Balochistan,Wheat,18.2,56.1,23.0,0.43,Organic,Organic,56,2.5,Excessive,Low,Maintain Schedule
55,2025-10-28,Balochistan,Rice,33.5,40.3,38.4,0.75,Potash,None,69,3.5,Adequate,Low,Apply Pesticide
56,2025-01-12,KPK,Wheat,18.0,40.4,19.4,0.44,Phosphate,General,71,5.0,Excessive,High,Apply Pesticide
57,2025-10-06,Punjab,Rice,32.1,85.9,13.5,0.24,None,General,69,3.4,Adequate,High,Maintain Schedule
58,2025-07-07,Balochistan,Cotton,36.7,43.8,8.9,0.81,Potash,Organic,73,4.7,Adequate,High,Reduce Watering
59,2025-03-10,Sindh,Wheat,20.8,83.0,19.9,0.45,Nitrogen,None,64,4.4,Insufficient,Low,Maintain Schedule
60,2025-08-09,Sindh,Wheat,23.1,85.8,20.8,0.25,Phosphate,None,78,1.7,Adequate,Low,Apply Pesticide
61,2025-10-13,Balochistan,Rice,22.8,87.0,16.5,0.54,Organic,General,61,5.2,Adequate,Low,Apply Fertiliser
62,2025-03-11,Sindh,Maize,37.2,20.9,19.2,0.37,None,General,67,1.6,Insufficient,Low,Apply Fertiliser
63,2025-11-20,Punjab,Maize,37.3,81.3,16.7,0.26,Potash,General,72,4.9,Adequate,Moderate,Apply Pesticide
64,2025-05-06,Sindh,Cotton,21.9,85.3,28.3,0.3,None,None,46,3.2,Adequate,High,Increase Watering
65,2025-01-13,Balochistan,Maize,40.3,75.9,32.4,0.69,Organic,None,42,4.4,Excessive,Moderate,Maintain Schedule
66,2025-06-25,Punjab,Cotton,41.1,31.7,27.3,0.71,Potash,General,87,5.0,Excessive,High,Apply Pesticide
67,2025-07-30,Punjab,Rice,21.0,73.7,17.1,0.88,Phosphate,None,63,2.3,Insufficient,High,Reduce Watering
68,2025-09-20,Sindh,Cotton,32.3,67.8,14.2,0.28,Nitrogen,None,90,5.1,Adequate,Low,Apply Fertiliser
69,2025-08-12,Balochistan,Cotton,23.3,30.0,38.3,0.62,None,Organic,85,2.2,Adequate,High,Apply Pesticide
70,2025-04-04,Gilgit-Baltistan,Maize,25.5,45.4,34.4,0.53,Potash,General,73,4.1,Adequate,Moderate,Increase Watering
71,2025-09-12,KPK,Cotton,37.3,49.3,0.5,0.57,Phosphate,General,74,4.6,Excessive,Moderate,Apply Pesticide
72,2025-09-25,Punjab,Wheat,37.2,56.6,19.5,0.73,None,Organic,68,3.6,Insufficient,High,Reduce Watering
73,2025-05-14,Punjab,Wheat,21.7,73.5,28.8,0.55,Potash,Organic,71,2.6,Insufficient,Low,Apply Fertiliser
74,2025-08-03,KPK,Rice,23.8,76.3,37.2,0.63,None,None,59,1.9,Excessive,Moderate,Increase Watering
75,2025-10-03,Sindh,Rice,26.5,77.3,11.7,0.29,Phosphate,None,92,2.2,Excessive,Low,Apply Pesticide
76,2025-04-23,Punjab,Maize,34.8,76.1,31.8,0.82,Potash,Organic,87,4.7,Excessive,Low,Apply Pesticide
77,2025-03-25,Sindh,Maize,27.6,80.5,5.9,0.35,Nitrogen,General,100,1.7,Excessive,Moderate,Reduce Watering
78,2025-03-24,Sindh,Rice,40.0,21.1,19.0,0.5,Organic,General,100,5.6,Adequate,Low,Apply Fertiliser
79,2025-04-28,Punjab,Cotton,22.8,53.2,4.4,0.38,Phosphate,Organic,42,4.1,Excessive,High,Increase Watering
80,2025-09-04,Balochistan,Wheat,27.4,88.5,23.6,0.6,Organic,General,91,4.5,Excessive,Moderate,Apply Pesticide
81,2025-05-01,Gilgit-Baltistan,Wheat,30.6,27.4,29.4,0.34,Organic,Organic,76,3.9,Insufficient,High,Reduce Watering
82,2025-08-11,Gilgit-Baltistan,Rice,39.9,67.4,9.1,0.24,Phosphate,None,78,3.4,Insufficient,High,Maintain Schedule
83,2025-11-05,Punjab,Rice,37.5,65.5,37.9,0.22,Potash,Organic,69,2.8,Excessive,Moderate,Reduce Watering
84,2025-10-11,Punjab,Maize,25.8,46.4,12.6,0.47,None,General,96,2.4,Adequate,Moderate,Increase Watering
85,2025-09-11,Punjab,Rice,34.1,22.8,34.9,0.7,Nitrogen,None,56,5.6,Insufficient,Low,Apply Pesticide
86,2025-01-09,Balochistan,Maize,33.0,81.0,29.9,0.47,None,Organic,51,5.7,Excessive,High,Increase Watering
87,2025-05-19,Balochistan,Cotton,26.0,65.3,10.6,0.66,Organic,None,99,5.2,Insufficient,Low,Maintain Schedule
88,2025-01-13,Punjab,Rice,41.7,76.5,14.1,0.29,Potash,None,68,4.5,Adequate,Moderate,Apply Pesticide
89,2025-11-24,Balochistan,Rice,35.4,20.4,11.9,0.33,Potash,None,90,3.2,Excessive,Low,Reduce Watering
90,2025-04-05,Punjab,Cotton,37.8,72.6,13.0,0.64,None,None,51,2.8,Adequate,High,Maintain Schedule
91,2025-07-20,Sindh,Rice,24.2,81.6,23.3,0.3,None,Organic,51,1.8,Adequate,High,Maintain Schedule
92,2025-05-06,Sindh,Maize,19.1,50.4,2.2,0.37,None,Organic,67,4.5,Adequate,Low,Increase Watering
93,2025-02-02,KPK,Cotton,27.4,52.8,29.7,0.53,Potash,Organic,85,5.7,Adequate,Low,Reduce Watering
94,2025-06-18,KPK,Maize,41.5,32.7,26.6,0.77,Nitrogen,General,70,2.3,Adequate,Moderate,Reduce Watering
95,2025-03-18,Gilgit-Baltistan,Rice,35.0,80.3,2.6,0.8,Potash,None,97,4.5,Insufficient,Low,Apply Pesticide
96,2025-04-27,Gilgit-Baltistan,Maize,29.0,50.1,19.0,0.6,Potash,None,42,1.7,Insufficient,Low,Apply Fertiliser
97,2025-10-25,Gilgit-Baltistan,Rice,25.2,80.5,27.4,0.57,Organic,Organic,85,4.2,Excessive,Moderate,Reduce Watering
98,2025-09-18,Punjab,Cotton,31.1,81.7,37.5,0.62,None,None,100,2.6,Excessive,Low,Maintain Schedule
99,2025-12-09,Sindh,Rice,26.0,57.6,6.2,0.43,Phosphate,Organic,45,2.2,Excessive,Moderate,Maintain Schedule
100,2025-04-21,Punjab,Wheat,41.1,61.1,24.2,0.56,Phosphate,Organic,100,3.2,Insufficient,Low,Apply Pesticide
101,2025-03-25,Balochistan,Maize,19.9,69.2,24.2,0.7,None,General,77,1.7,Insufficient,High,Increase Watering
102,2025-01-07,Sindh,Cotton,39.5,23.0,31.5,0.48,Nitrogen,None,64,5.8,Adequate,Moderate,Apply Fertiliser
103,2025-09-18,Gilgit-Baltistan,Maize,34.1,65.1,25.1,0.27,Potash,General,66,2.4,Excessive,High,Maintain Schedule
104,2025-07-16,Punjab,Maize,39.3,26.3,24.1,0.81,Organic,General,59,3.7,Insufficient,Low,Apply Fertiliser
105,2025-02-08,Gilgit-Baltistan,Cotton,19.0,31.8,11.1,0.24,None,Organic,40,1.9,Excessive,High,Apply Pesticide
106,2025-01-16,KPK,Maize,22.7,40.0,22.2,0.6,None,Organic,76,6.0,Insufficient,Moderate,Apply Fertiliser
107,2025-01-31,Balochistan,Cotton,20.7,39.4,17.8,0.39,Organic,Organic,73,2.4,Excessive,High,Apply Fertiliser
108,2025-04-14,Gilgit-Baltistan,Cotton,20.1,48.3,39.7,0.83,Nitrogen,None,82,2.4,Insufficient,High,Maintain Schedule
109,2025-06-05,Punjab,Rice,18.3,53.6,34.4,0.8,Phosphate,Organic,72,3.2,Excessive,High,Apply Pesticide
110,2025-07-01,Punjab,Cotton,30.9,31.3,1.8,0.41,Phosphate,General,75,3.3,Insufficient,Moderate,Increase Watering
111,2025-02-10,Punjab,Cotton,34.0,68.8,5.0,0.4,Phosphate,None,85,2.9,Excessive,Low,Maintain Schedule
112,2025-09-07,KPK,Wheat,19.3,78.2,17.7,0.79,Potash,General,97,5.8,Excessive,Moderate,Reduce Watering
113,2025-07-03,KPK,Rice,24.1,31.2,24.4,0.66,Organic,None,79,3.3,Adequate,Moderate,Apply Fertiliser
114,2025-12-30,Gilgit-Baltistan,Rice,33.9,79.6,5.2,0.4,Nitrogen,Organic,44,3.0,Excessive,Low,Apply Fertiliser
115,2025-04-22,KPK,Cotton,26.2,75.2,23.6,0.8,Nitrogen,None,66,4.7,Adequate,Moderate,Reduce Watering
116,2025-06-09,Punjab,Cotton,40.4,75.2,4.3,0.38,None,General,55,2.1,Adequate,Low,Increase Watering
117,2025-11-23,Punjab,Rice,33.3,88.1,21.7,0.25,Potash,General,83,3.4,Adequate,High,Reduce Watering
118,2025-04-30,KPK,Rice,32.1,30.2,38.8,0.25,Potash,General,60,2.6,Insufficient,Low,Apply Fertiliser
119,2025-12-06,Gilgit-Baltistan,Maize,21.9,55.8,27.3,0.8,Nitrogen,General,89,5.6,Excessive,Low,Apply Fertiliser
120,2025-06-17,KPK,Cotton,23.4,41.6,38.2,0.3,Phosphate,General,50,5.4,Insufficient,Moderate,Maintain Schedule
121,2025-01-29,Balochistan,Cotton,27.5,45.8,1.3,0.55,None,Organic,46,4.0,Adequate,High,Reduce Watering
122,2025-02-09,Punjab,Maize,28.5,30.5,16.9,0.56,None,Organic,74,5.5,Adequate,Low,Reduce Watering
123,2025-10-31,Gilgit-Baltistan,Maize,19.2,62.4,3.5,0.21,None,None,67,3.3,Adequate,Moderate,Apply Fertiliser
124,2025-08-28,KPK,Cotton,21.8,54.7,7.9,0.28,Phosphate,None,55,4.6,Excessive,High,Increase Watering
125,2025-01-16,Gilgit-Baltistan,Maize,22.1,62.4,11.9,0.32,Potash,None,73,4.4,Adequate,Low,Apply Fertiliser
126,2025-07-04,Balochistan,Cotton,30.0,48.2,4.8,0.7,Organic,Organic,84,4.3,Excessive,High,Apply Fertiliser
127,2025-02-08,Punjab,Cotton,41.0,32.9,37.3,0.6,Potash,Organic,49,3.2,Adequate,Low,Maintain Schedule
128,2025-03-16,Balochistan,Rice,18.2,68.7,26.7,0.57,None,Organic,90,2.4,Adequate,High,Apply Pesticide
129,2025-10-07,Gilgit-Baltistan,Wheat,23.5,39.9,25.9,0.22,Phosphate,General,78,5.0,Insufficient,Low,Increase Watering
130,2025-06-26,Gilgit-Baltistan,Maize,33.6,79.6,35.3,0.3,Nitrogen,Organic,78,5.9,Insufficient,Moderate,Maintain Schedule
131,2025-06-03,Sindh,Wheat,39.7,72.3,38.9,0.83,Potash,Organic,47,4.6,Insufficient,High,Apply Pesticide
132,2025-07-09,Sindh,Wheat,20.2,65.3,14.1,0.58,Nitrogen,None,40,4.0,Adequate,High,Apply Fertiliser
133,2025-07-26,KPK,Wheat,30.6,35.3,12.4,0.84,Phosphate,General,92,4.7,Insufficient,Moderate,Apply Fertiliser
134,2025-09-02,Balochistan,Wheat,26.3,24.4,34.1,0.89,Organic,General,41,3.6,Adequate,Moderate,Reduce Watering
135,2025-10-16,Punjab,Wheat,22.7,40.8,5.3,0.45,Phosphate,None,97,4.7,Insufficient,High,Apply Fertiliser
136,2025-08-23,Sindh,Cotton,29.2,28.0,14.1,0.65,Organic,None,97,4.5,Insufficient,Moderate,Apply Pesticide
137,2025-02-05,Balochistan,Rice,32.8,38.2,18.6,0.28,Potash,Organic,53,5.1,Adequate,High,Apply Fertiliser
138,2025-10-17,Sindh,Cotton,38.4,64.4,39.8,0.22,Phosphate,General,64,3.6,Excessive,High,Increase Watering
139,2025-02-07,Punjab,Maize,39.5,84.1,4.1,0.85,None,Organic,90,4.9,Insufficient,Low,Increase Watering
140,2025-03-29,KPK,Rice,26.1,89.1,3.9,0.37,None,Organic,97,4.7,Excessive,Low,Increase Watering
141,2025-07-13,Balochistan,Maize,24.4,55.7,39.9,0.44,Phosphate,None,45,4.3,Adequate,High,Reduce Watering
142,2025-02-07,Gilgit-Baltistan,Maize,29.9,34.7,2.1,0.87,Phosphate,None,90,1.9,Excessive,Low,Reduce Watering
143,2025-06-14,Punjab,Wheat,39.8,30.8,9.7,0.46,Phosphate,General,97,2.5,Excessive,Low,Apply Pesticide
144,2025-08-09,Balochistan,Cotton,20.3,62.9,35.9,0.82,Phosphate,None,82,2.8,Adequate,Moderate,Apply Fertiliser
145,2025-09-28,Balochistan,Cotton,31.4,83.6,18.5,0.25,Nitrogen,None,44,4.6,Excessive,Low,Apply Fertiliser
146,2025-11-11,Sindh,Wheat,29.2,37.0,12.5,0.5,Phosphate,General,54,4.2,Excessive,Low,Increase Watering
147,2025-09-04,Balochistan,Maize,35.0,26.2,8.4,0.28,None,Organic,56,1.8,Excessive,Low,Apply Fertiliser
148,2025-01-10,Punjab,Wheat,38.6,45.1,35.4,0.74,Nitrogen,Organic,73,4.7,Adequate,Low,Reduce Watering
149,2025-12-26,Gilgit-Baltistan,Rice,28.9,47.1,20.1,0.33,None,Organic,66,2.2,Excessive,Low,Maintain Schedule
150,2025-04-21,KPK,Rice,34.7,44.4,24.8,0.2,Organic,Organic,55,5.0,Excessive,Low,Apply Fertiliser
151,2025-01-25,Punjab,Maize,23.1,53.7,6.6,0.38,Organic,General,60,1.8,Adequate,Moderate,Increase Watering
152,2025-10-24,Gilgit-Baltistan,Maize,37.9,54.3,38.2,0.24,Potash,Organic,76,2.9,Adequate,Moderate,Reduce Watering
153,2025-02-23,Gilgit-Baltistan,Wheat,37.6,73.2,13.9,0.34,Potash,General,95,5.3,Adequate,Low,Reduce Watering
154,2025-01-27,Gilgit-Baltistan,Cotton,23.6,31.5,11.4,0.34,None,None,44,4.9,Excessive,High,Reduce Watering
155,2025-06-02,Balochistan,Maize,28.3,69.5,27.3,0.26,Phosphate,General,52,3.3,Excessive,Low,Increase Watering
156,2025-10-24,KPK,Maize,33.1,36.5,2.3,0.44,Nitrogen,None,85,2.1,Insufficient,Low,Increase Watering
157,2025-02-12,Punjab,Wheat,25.5,23.3,8.0,0.23,Phosphate,None,74,5.5,Insufficient,Low,Apply Fertiliser
158,2025-06-10,Punjab,Rice,40.0,68.8,25.6,0.6,Potash,None,93,5.5,Insufficient,Low,Apply Fertiliser
159,2025-11-19,Balochistan,Wheat,24.3,88.2,4.1,0.76,Nitrogen,Organic,71,5.1,Insufficient,High,Apply Fertiliser
160,2025-12-06,Punjab,Cotton,24.2,80.1,22.3,0.59,None,Organic,59,5.2,Insufficient,Moderate,Apply Fertiliser
161,2025-03-03,KPK,Rice,35.9,77.1,8.4,0.6,None,Organic,68,3.2,Adequate,Low,Increase Watering
162,2025-11-04,KPK,Maize,34.8,20.0,33.8,0.73,Potash,Organic,57,4.7,Excessive,Low,Increase Watering
163,2025-07-17,Sindh,Rice,31.2,35.4,34.2,0.39,None,Organic,67,5.4,Adequate,High,Reduce Watering
164,2025-02-09,Gilgit-Baltistan,Wheat,41.4,77.0,33.9,0.59,None,None,92,1.8,Adequate,Low,Increase Watering
165,2025-04-01,KPK,Cotton,19.5,75.2,33.6,0.23,Nitrogen,Organic,48,2.9,Insufficient,Low,Increase Watering
166,2025-11-27,Punjab,Rice,37.9,42.7,4.1,0.81,Potash,General,65,2.4,Excessive,Moderate,Increase Watering
167,2025-08-26,KPK,Maize,31.7,51.6,37.0,0.87,Phosphate,None,81,4.2,Adequate,High,Maintain Schedule
168,2025-01-01,KPK,Wheat,39.5,29.5,21.4,0.34,Phosphate,None,70,4.6,Excessive,Low,Apply Fertiliser
169,2025-08-08,Sindh,Wheat,39.4,24.7,24.9,0.37,None,None,80,2.3,Adequate,Low,Maintain Schedule
170,2025-10-18,KPK,Maize,23.1,73.7,35.6,0.63,Potash,None,62,5.3,Excessive,Moderate,Apply Pesticide
171,2025-09-14,Gilgit-Baltistan,Rice,22.9,25.8,38.5,0.36,Phosphate,Organic,61,2.0,Adequate,High,Increase Watering
172,2025-03-20,Punjab,Wheat,40.2,51.0,33.9,0.52,Potash,Organic,45,2.6,Excessive,Moderate,Apply Fertiliser
173,2025-09-01,Balochistan,Maize,32.2,79.6,19.7,0.35,Potash,None,86,4.0,Adequate,High,Apply Fertiliser
174,2025-05-11,KPK,Cotton,24.4,84.9,31.8,0.37,Nitrogen,Organic,77,5.2,Adequate,Moderate,Apply Pesticide
175,2025-11-09,Gilgit-Baltistan,Cotton,22.6,66.8,11.5,0.5,Phosphate,General,95,5.3,Insufficient,Moderate,Maintain Schedule
176,2025-07-07,Punjab,Cotton,37.2,61.1,5.5,0.72,Nitrogen,General,49,1.7,Insufficient,High,Reduce Watering
177,2025-11-20,Balochistan,Maize,31.8,61.3,39.6,0.33,Nitrogen,General,45,2.3,Adequate,Moderate,Maintain Schedule
178,2025-10-22,Gilgit-Baltistan,Wheat,19.0,87.2,23.0,0.45,Potash,None,83,4.5,Insufficient,Low,Reduce Watering
179,2025-06-11,KPK,Wheat,22.6,23.2,8.8,0.52,None,None,44,5.2,Excessive,Moderate,Apply Pesticide
180,2025-10-10,KPK,Rice,23.1,86.6,29.7,0.58,None,General,93,2.9,Excessive,Moderate,Increase Watering
181,2025-06-08,KPK,Wheat,18.7,39.2,28.1,0.21,Phosphate,None,43,2.6,Insufficient,Low,Apply Fertiliser
182,2025-08-07,Gilgit-Baltistan,Maize,19.5,32.0,4.6,0.89,Phosphate,General,60,5.6,Adequate,Low,Apply Fertiliser
183,2025-03-02,KPK,Maize,24.7,62.5,31.5,0.44,Organic,General,69,3.8,Excessive,High,Increase Watering
184,2025-06-20,KPK,Cotton,18.4,72.5,23.0,0.59,Potash,None,92,3.8,Excessive,Moderate,Increase Watering
185,2025-10-07,Gilgit-Baltistan,Wheat,28.4,27.8,6.7,0.42,Potash,None,49,1.7,Adequate,Moderate,Increase Watering
186,2025-07-29,Balochistan,Maize,40.7,29.0,3.9,0.39,Phosphate,None,82,5.0,Excessive,Moderate,Apply Pesticide
187,2025-01-01,Gilgit-Baltistan,Cotton,26.2,38.5,10.3,0.27,Potash,Organic,80,3.5,Excessive,Low,Apply Pesticide
188,2025-05-04,Sindh,Rice,26.7,53.9,36.3,0.87,Organic,Organic,52,1.6,Insufficient,Low,Increase Watering
189,2025-08-14,Punjab,Wheat,21.1,53.1,37.5,0.21,Phosphate,None,99,4.0,Adequate,Moderate,Apply Fertiliser
190,2025-06-13,KPK,Wheat,39.0,85.8,4.8,0.47,Phosphate,None,55,5.7,Insufficient,Low,Increase Watering
191,2025-10-17,Balochistan,Maize,31.7,50.7,11.9,0.61,Potash,Organic,92,1.6,Excessive,High,Apply Pesticide
192,2025-02-26,Gilgit-Baltistan,Cotton,29.2,25.7,15.3,0.43,Nitrogen,General,64,4.5,Adequate,High,Apply Pesticide
193,2025-01-02,KPK,Cotton,25.1,54.8,27.8,0.79,None,Organic,91,1.7,Insufficient,High,Increase Watering
194,2025-09-01,Punjab,Maize,20.6,52.0,5.3,0.55,Nitrogen,Organic,93,5.9,Excessive,Moderate,Apply Fertiliser
195,2025-07-30,Balochistan,Cotton,28.9,68.7,37.9,0.36,None,Organic,83,5.7,Adequate,High,Apply Fertiliser
196,2025-07-10,Balochistan,Maize,18.7,56.3,30.2,0.88,Organic,None,98,4.8,Adequate,Low,Increase Watering
197,2025-01-14,KPK,Cotton,18.9,38.6,33.9,0.87,None,None,99,3.8,Excessive,Low,Reduce Watering
198,2025-04-30,KPK,Maize,29.0,47.9,10.8,0.7,Phosphate,Organic,84,1.8,Excessive,High,Apply Fertiliser
199,2025-07-29,KPK,Rice,20.9,45.4,18.8,0.33,Organic,None,63,1.7,Adequate,Moderate,Increase Watering
200,2025-11-30,Sindh,Maize,40.3,20.3,30.4,0.38,Nitrogen,General,94,5.5,Insufficient,Moderate,Maintain Schedule
